Listing,Title,Views,Clicks,Click rate,Orders,Revenue,Spend,ROAS,Conversion Rate (%)
"Pirate svg, Jack Sparrow svg, Pirate svg files, Pirates of the Caribbean, Dead Men Tell No Tales, Skull and...",36255,316,0.9%,56,180.90,90.25,2,0.15
"A Pirate's Life for Me svg, Yo Ho Yo Ho, Pirate SVG, Pirate svg files, Pirates svg, svg files for cricut, Skull...",4473,37,0.8%,4,11.66,11.60,1.01,0.09
"Pirate Shirt SVG Design Dead Men Tell No Tales Aztec Coin SVG Bundle Pack Combo",2184,38,1.7%,3,8.67,12.93,0.67,0.14
"Ratatouille svg Little Chef French Cooking svg Paris French Cuisine SVG Bundle Kitchen Decor SVG and...",3062,33,1.1%,3,8.37,9.16,0.91,0.10
"Ratatouille svg French Paris Little Chef svg Paris French Cuisine SVG Bundle Kitchen Decor SVG and PNG File",2227,26,1.2%,3,8.67,6.68,1.3,0.13
"Haunted Mansion SVG Hitchhiking Ghosts Halloween Cut File Candelabra Gargoyle Grim Grinning Ghosts...",1419,9,0.6%,2,5.68,3.20,1.78,0.14
"Halloween Birthday Party Haunted Mansion Invitation Gothic Purple Grim Grinning Ghosts Party Invite",960,11,1.1%,1,6.29,3.30,1.91,0.10
"Pirate svg Pirates of the Caribbean Jack Sparrow Pirates Aztec Coin, Black Pearl svg files cricut...",552,3,0.5%,1,2.69,0.79,3.41,0.18
"Descendants PNG clipart, Auradon Prep, Mal, Evie, Transparent Background Images",172,1,0.6%,1,2.99,0.17,17.59,0.58
"Headless Horseman svg, Halloween svg, Fall svg, Headless Horseman, Halloween, Fall, Autumn svg,...",894,13,1.5%,1,2.99,3.13,0.96,0.11
"Fairytale Princess svg - Live Like There is No Midnight - Glass Slipper - Cinderella - Cricut SVG Cut File...",312,3,1%,1,2.99,0.78,3.83,0.32
"Tangled Sun SVG Cut File",203,3,1.5%,1,2.99,1.30,2.3,0.49
"A Pirate's Life for Me svg Pirate SVG Pirates svg DXF Skull and Bones svg Captain Hook Jack Sparrow...",493,2,0.4%,1,2.69,0.57,4.72,0.20
"Kraken svg, Tentacles, Pirate SVG, Sea Monster Octopus Giant Squid SVG Cricut Design",1406,14,1%,1,2.99,3.85,0.78,0.07
"Ratatouille svg Remy French Cooking svg Croissant Paris French Cuisine SVG Bundle Anyone Can Cook...",520,7,1.3%,1,2.99,0.87,3.44,0.19
"Fairytale Princess svg - A Dream is A Wish Your Heart Makes - Glass Slipper - Cricut SVG Cut File Design",15,0,0%,0,0,0,0,0.00
"Descendants Mal PNG Clipart Bundle Auradon Prep",10,1,10%,0,0,0.07,0,0.00
"Rise of Red Descendants Rebel at Heart Birthday Invitation and Sign Clipart Download",92,1,1.1%,0,0,0.22,0,0.00
"Hunny Pot SVG Bundle Pack Honey Pot and Honey Bees svg - Classic Winnie the Pooh Clipart",132,0,0%,0,0,0,0,0.00
"Pirate svg, Teacher svg, Elementary, First Grade svg, School svg, Pirates, Skull and Crossbones 1st Grade...",18,0,0%,0,0,0,0,0.00
"Hercules svg Go the Distance Hercular Zeus Medallion Coin PNG and SVG Cut File Sublimation Tshirt Designs Fitness...",1,0,0%,0,0,0,0,0.00
"Fall Autumn Colors of the Wind Pocahontas SVG Cricut or Silhouette Cut File",5,0,0%,0,0,0,0,0.00
"In Omnia Paratus SVG Latin Rory Lorelai Umbrella Diner Stars Hollow SVG PNG Clipart Cricut Cut File",1,0,0%,0,0,0,0,0.00
"Paris france svg, Paris svg, Eiffel Tower svg, Love svg, French, travel svg, romantic svg, cute svg, svg files for...",4,1,25%,0,0,0.20,0,0.00
"Headless Horseman Moonlight SVG Ichabod Crane Halloween svg Pumpkin Jack O Lantern Spooky",13,0,0%,0,0,0,0,0.00
"Sleepy Hollow Headless Horseman Halloween SVG File Design Spooky College Sweatshirt Font School Spirit Gho...",546,5,0.9%,0,0,0.75,0,0.00
"Latin In Omnia Paratus SVG PNG Clipart Cricut Cut File - Rory Lorelai Umbrella Diner Stars Hollow SV",3,0,0%,0,0,0,0,0.00
